era,period,common_name,Genus,Link,pic_url,bonus_material
Paleozoic,Cambrian,Pelagiella,Pelagiella,https://en.wikipedia.org/wiki/Pelagiellidae,https://upload.wikimedia.org/wikipedia/commons/1/16/Pelagiella_atlantoides.jpg,
Paleozoic,Cambrian,Naraoia ,Naraoia ,https://evolution.berkeley.edu/evolibrary/article/0_0_4/cambrian_19,https://upload.wikimedia.org/wikipedia/commons/7/7b/Naraoia_spinosa.jpg,
Paleozoic,Cambrian,Hallucigenia ,Hallucigenia ,https://youtu.be/9-Z9Ssgb0Kg,https://upload.wikimedia.org/wikipedia/commons/a/ad/Hallucigenia_reconstructions.jpg,
Paleozoic,Cambrian,Anomalocaris ,Anomalocaris ,https://www.youtube.com/watch?v=ice47loNmsc,https://upload.wikimedia.org/wikipedia/commons/7/7f/Anomalocaris_NT_small.jpg,
Paleozoic,Cambrian,Pikaia ,Pikaia ,https://www.newdinosaurs.com/pikaia/,https://upload.wikimedia.org/wikipedia/commons/4/43/Pikaia_NT_small.jpg,
Paleozoic,Cambrian,Haikouella ,Haikouella ,https://www.sciencemag.org/news/1999/12/new-glimpse-early-animal-history,https://upload.wikimedia.org/wikipedia/commons/7/78/Haikouella_lanceolata.jpg,
Paleozoic,Ordivician,Jawless fish,Ostracoderms ,http://www.eartharchives.org/articles/ostracoderms-armored-fishes-without-jaws/,https://upload.wikimedia.org/wikipedia/commons/6/6e/Osteostraci_Janvier.gif,
Paleozoic,Ordivician,Giant cephalopod,Cameroceras ,https://youtu.be/Mx9S85Mzdws,https://upload.wikimedia.org/wikipedia/commons/4/44/Cameroceras_trentonese.jpg,
Paleozoic,Ordivician,Trilobites ,Trilobites ,https://youtu.be/Aji2VnQFUCs,https://upload.wikimedia.org/wikipedia/commons/2/21/Paradoxides_sp.jpg,
Paleozoic,Ordivician,Tortotubus ,Tortotubus ,https://www.scientificamerican.com/article/first-life-on-land/?redirect=1,https://upload.wikimedia.org/wikipedia/commons/6/69/Sherwood-Pike_Gray_1985.jpg,
Paleozoic,Ordivician,Eurypteridae ,Eurypteridae ,https://youtu.be/4dTiUHvIm0s,https://upload.wikimedia.org/wikipedia/commons/f/f6/Adelophthalmus_irinae.png,
Paleozoic,Ordivician,Jawless fish,Arandapsis,https://museumsvictoria.com.au/website/melbournemuseum/discoverycentre/600-million-years/timeline/ordovician/arandaspis/index.html,https://upload.wikimedia.org/wikipedia/commons/5/58/Arandaspis_NT.jpg,
Paleozoic,Ordivician,Climacograptus,Climacograptus,https://samnoblemuseum.ou.edu/common-fossils-of-oklahoma/invertebrate-fossils/graptolites/,https://upload.wikimedia.org/wikipedia/commons/9/9e/Climacograptus_wilsoni_Graptolite_Fossils_from_Dob%27s_Linn_Scotland.jpg,
Paleozoic,Silurian,Conodonts,Conodonts,http://tolweb.org/Euconodonta/14832,https://upload.wikimedia.org/wikipedia/commons/3/33/Euconodonta.gif,
Paleozoic,Silurian,Eurypterus,Eurypterus,https://blog.biodiversitylibrary.org/2013/10/national-fossil-day-eurypterus-remipes.html,https://upload.wikimedia.org/wikipedia/commons/3/3c/Eurypterus_Paleoart.jpg,
Paleozoic,Silurian,Platyceras,Platyceras,http://eweb.furman.edu/~wworthen/bio440/evolweb/silurian/platyceras.htm,https://upload.wikimedia.org/wikipedia/commons/8/83/PlatycerasLoganOhio.jpg,
Paleozoic,Silurian,Mixopterus,Mixopterus,http://www.lifebeforethedinosaurs.com/2011/08/mixopterus.html,https://upload.wikimedia.org/wikipedia/commons/2/29/Mixopterus_Size.svg,
